time,open,high,low,close,tick_volume,spread,real_volume
2000-12-25 00:00:00,0.9225,0.9285,0.9195,0.9257,149,50,0
2000-12-26 00:00:00,0.9256,0.9332,0.9232,0.93,157,50,0
2000-12-27 00:00:00,0.9306,0.9347,0.9271,0.9315,144,50,0
2000-12-28 00:00:00,0.9306,0.9325,0.9242,0.9301,162,50,0
2000-12-29 00:00:00,0.9291,0.9433,0.9275,0.9426,182,50,0
2001-01-01 00:00:00,0.9424,0.9426,0.9404,0.9411,501,50,0
2001-01-02 00:00:00,0.9421,0.9523,0.9365,0.9511,227,50,0
2001-01-03 00:00:00,0.9506,0.9578,0.926,0.9275,406,50,0
2001-01-04 00:00:00,0.9274,0.9525,0.9266,0.9502,291,50,0
2001-01-05 00:00:00,0.9506,0.9599,0.9461,0.9579,204,50,0
2001-01-08 00:00:00,0.9582,0.9595,0.9459,0.9478,169,50,0
2001-01-09 00:00:00,0.9472,0.9484,0.9381,0.9435,170,50,0
2001-01-10 00:00:00,0.9435,0.947,0.9357,0.9375,167,50,0
2001-01-11 00:00:00,0.9371,0.9564,0.936,0.9527,253,50,0
2001-01-12 00:00:00,0.9522,0.9585,0.9465,0.9522,241,50,0
2001-01-15 00:00:00,0.9522,0.9532,0.9407,0.9425,154,50,0
2001-01-16 00:00:00,0.9415,0.9449,0.9368,0.9417,161,50,0
2001-01-17 00:00:00,0.9422,0.9454,0.9284,0.9367,286,50,0
2001-01-18 00:00:00,0.9358,0.9475,0.935,0.9429,180,50,0
2001-01-19 00:00:00,0.9425,0.9513,0.9329,0.9348,292,50,0
2001-01-22 00:00:00,0.9345,0.941,0.9265,0.9391,245,50,0
2001-01-23 00:00:00,0.9384,0.9457,0.9341,0.9349,198,50,0
2001-01-24 00:00:00,0.9345,0.938,0.9207,0.9246,248,50,0
2001-01-25 00:00:00,0.9238,0.9257,0.9113,0.9247,280,50,0
2001-01-26 00:00:00,0.9246,0.9322,0.9195,0.9249,252,50,0
2001-01-29 00:00:00,0.9235,0.9266,0.9155,0.9175,163,50,0
2001-01-30 00:00:00,0.917,0.9286,0.9142,0.9266,193,50,0
2001-01-31 00:00:00,0.9263,0.9383,0.925,0.9379,151,50,0
2001-02-01 00:00:00,0.9375,0.9451,0.9361,0.9375,181,50,0
2001-02-02 00:00:00,0.9371,0.9428,0.9314,0.9365,223,50,0
2001-02-05 00:00:00,0.9351,0.9447,0.935,0.9383,163,50,0
2001-02-06 00:00:00,0.9379,0.9391,0.9278,0.9316,164,50,0
2001-02-07 00:00:00,0.9305,0.9354,0.9255,0.9297,191,50,0
2001-02-08 00:00:00,0.9284,0.931,0.9147,0.9184,227,50,0
2001-02-09 00:00:00,0.9185,0.9279,0.913,0.9246,238,50,0
2001-02-12 00:00:00,0.9253,0.9333,0.9244,0.9326,106,50,0
2001-02-13 00:00:00,0.932,0.9336,0.9165,0.9211,234,50,0
