time,open,high,low,close,tick_volume,spread,real_volume
2010-08-08 00:00:00,1205.05,1205.85,1203.95,1205.15,389,0,0
2010-08-09 00:00:00,1204.99,1209.68,1199.05,1201.24,26385,0,0
2010-08-10 00:00:00,1201.22,1207.08,1190.61,1203.95,31933,0,0
2010-08-11 00:00:00,1203.95,1207.75,1192.39,1197.81,33325,0,0
2010-08-12 00:00:00,1197.77,1215.25,1197.03,1213.4,31906,0,0
2010-08-13 00:00:00,1213.44,1217.35,1210.65,1214.93,29138,0,0
2010-08-15 00:00:00,1214.55,1215.15,1213.95,1215.05,296,0,0
2010-08-16 00:00:00,1214.12,1227.33,1213.59,1225.03,26954,0,0
2010-08-17 00:00:00,1225.05,1228.7,1221.97,1224.67,27447,0,0
2010-08-18 00:00:00,1224.64,1232.29,1217.57,1229.26,28477,0,0
2010-08-19 00:00:00,1229.27,1237.16,1227.68,1231.87,29155,0,0
2010-08-20 00:00:00,1231.83,1233.77,1222.17,1227.17,28694,0,0
2010-08-22 00:00:00,1227.45,1229.15,1226.55,1226.65,678,0,0
2010-08-23 00:00:00,1227.03,1231.75,1221.75,1225.76,26155,0,0
2010-08-24 00:00:00,1225.79,1235.28,1210.15,1230.32,31113,0,0
2010-08-25 00:00:00,1230.36,1241.21,1228.23,1239.8,31699,0,0
2010-08-26 00:00:00,1239.81,1244.18,1234.02,1237.34,31171,0,0
2010-08-27 00:00:00,1237.35,1242.11,1232.0,1238.0,30282,0,0
2010-08-29 00:00:00,1237.75,1238.35,1235.05,1236.85,795,0,0
2010-08-30 00:00:00,1237.18,1238.45,1233.29,1236.62,25540,0,0
2010-08-31 00:00:00,1236.6,1249.75,1231.64,1247.03,30356,0,0
2010-09-01 00:00:00,1247.07,1254.65,1242.39,1244.3,32101,0,0
2010-09-02 00:00:00,1244.31,1253.11,1243.11,1250.77,30285,0,0
2010-09-03 00:00:00,1250.75,1253.7,1237.91,1246.81,28476,0,0
2010-09-05 00:00:00,1247.35,1249.45,1246.85,1247.75,409,0,0
2010-09-06 00:00:00,1248.01,1250.88,1246.49,1249.74,19050,0,0
2010-09-07 00:00:00,1249.73,1259.55,1244.69,1255.21,28575,0,0
2010-09-08 00:00:00,1255.15,1262.09,1253.64,1254.74,28586,0,0
2010-09-09 00:00:00,1256.43,1257.28,1241.9,1243.25,14841,0,0
2010-09-10 00:00:00,1243.73,1250.81,1236.2,1245.39,21595,0,0
2010-09-12 00:00:00,1246.15,1246.55,1243.25,1243.65,700,0,0
2010-09-13 00:00:00,1244.9,1248.8,1240.63,1245.13,18363,0,0
2010-09-14 00:00:00,1245.33,1274.48,1244.28,1267.73,27448,0,0
2010-09-15 00:00:00,1267.65,1271.53,1262.8,1267.55,22212,0,0
2010-09-16 00:00:00,1267.73,1277.48,1264.41,1274.8,23121,0,0
2010-09-17 00:00:00,1274.83,1282.51,1271.58,1274.28,22699,0,0
2010-09-19 00:00:00,1278.3,1278.85,1274.05,1276.45,753,0,0
2010-09-20 00:00:00,1277.45,1283.28,1273.98,1278.08,19918,0,0
2010-09-21 00:00:00,1277.75,1290.23,1270.33,1286.53,24341,0,0
2010-09-22 00:00:00,1287.28,1295.85,1285.93,1290.88,23304,0,0
2010-09-23 00:00:00,1291.0,1295.58,1286.58,1291.88,18097,0,0
2010-09-24 00:00:00,1291.98,1299.55,1289.45,1295.81,19256,0,0
2010-09-26 00:00:00,1296.65,1297.75,1294.65,1296.55,638,0,0
2010-09-27 00:00:00,1296.45,1299.63,1293.58,1293.83,13447,0,0
2010-09-28 00:00:00,1294.1,1309.83,1275.75,1308.73,24089,0,0
2010-09-29 00:00:00,1308.8,1313.13,1305.18,1309.38,20636,0,0
2010-09-30 00:00:00,1309.5,1315.56,1295.58,1307.81,25099,0,0
2010-10-01 00:00:00,1307.78,1320.2,1305.63,1318.85,22345,0,0
2010-10-03 00:00:00,1319.45,1319.95,1316.85,1317.35,353,0,0
2010-10-04 00:00:00,1318.2,1319.75,1312.0,1314.73,20716,0,0
2010-10-05 00:00:00,1314.78,1341.28,1311.98,1340.28,27518,0,0
2010-10-06 00:00:00,1340.43,1349.3,1338.58,1348.45,24146,0,0
2010-10-07 00:00:00,1348.5,1364.58,1325.4,1333.08,41647,0,0
2010-10-08 00:00:00,1333.03,1349.35,1324.53,1347.25,36099,0,0
2010-10-10 00:00:00,1351.95,1355.05,1351.35,1354.75,1026,0,0
2010-10-11 00:00:00,1346.23,1355.0,1339.98,1353.5,28077,0,0
2010-10-12 00:00:00,1353.55,1354.9,1340.23,1349.83,29283,0,0
2010-10-13 00:00:00,1349.88,1374.08,1348.78,1371.73,27196,0,0
2010-10-14 00:00:00,1371.85,1386.8,1370.05,1380.58,36278,0,0
2010-10-15 00:00:00,1380.43,1385.13,1361.88,1368.25,36308,0,0
2010-10-17 00:00:00,1369.85,1369.85,1365.05,1366.05,980,0,0
2010-10-18 00:00:00,1368.85,1374.58,1352.43,1367.88,30948,0,0
2010-10-19 00:00:00,1368.03,1370.68,1327.75,1331.45,44074,0,0
2010-10-20 00:00:00,1331.5,1346.85,1330.18,1345.83,35993,0,0
2010-10-21 00:00:00,1345.75,1348.88,1317.63,1325.23,40542,0,0
2010-10-22 00:00:00,1325.08,1328.23,1314.6,1327.3,31981,0,0
2010-10-24 00:00:00,1332.35,1336.05,1331.65,1333.85,1337,0,0
2010-10-25 00:00:00,1326.95,1348.8,1326.95,1339.35,31864,0,0
2010-10-26 00:00:00,1339.28,1343.2,1327.78,1340.03,30132,0,0
2010-10-27 00:00:00,1339.93,1343.18,1318.52,1324.73,37919,0,0
2010-10-28 00:00:00,1324.83,1345.45,1322.63,1343.58,31433,0,0
2010-10-29 00:00:00,1343.93,1359.03,1334.98,1357.4,33370,0,0
2010-10-31 00:00:00,1364.7,1364.9,1361.25,1363.05,941,0,0
2010-11-01 00:00:00,1359.95,1365.45,1348.73,1351.6,29693,0,0
2010-11-02 00:00:00,1351.65,1359.58,1349.98,1356.98,25295,0,0
2010-11-03 00:00:00,1357.03,1364.29,1325.03,1348.98,41047,0,0
2010-11-04 00:00:00,1348.73,1392.98,1346.45,1392.1,38785,0,0
2010-11-05 00:00:00,1392.3,1397.78,1372.88,1393.1,41920,0,0
2010-11-07 00:00:00,1394.95,1395.1,1392.8,1395.05,701,0,0
2010-11-08 00:00:00,1393.95,1410.03,1386.43,1408.98,36002,0,0
2010-11-09 00:00:00,1408.93,1424.13,1382.2,1392.35,52538,0,0
2010-11-10 00:00:00,1392.8,1409.78,1383.65,1403.43,53803,0,0
2010-11-11 00:00:00,1403.48,1417.38,1396.7,1407.95,43831,0,0
2010-11-12 00:00:00,1407.85,1409.95,1359.65,1368.05,57766,0,0
2010-11-14 00:00:00,1369.55,1370.2,1368.1,1369.85,314,0,0
2010-11-15 00:00:00,1369.1,1376.43,1355.33,1360.13,44785,0,0
2010-11-16 00:00:00,1359.88,1364.25,1329.35,1339.13,52654,0,0
2010-11-17 00:00:00,1339.18,1344.53,1330.5,1335.63,43704,0,0
2010-11-18 00:00:00,1335.4,1358.83,1335.18,1352.93,46453,0,0
2010-11-19 00:00:00,1352.88,1362.93,1341.25,1352.98,46863,0,0
2010-11-21 00:00:00,1357.5,1359.35,1357.4,1358.65,493,0,0
2010-11-22 00:00:00,1354.23,1367.48,1348.15,1366.33,43220,0,0
2010-11-23 00:00:00,1366.18,1382.1,1355.9,1376.0,50591,0,0
2010-11-24 00:00:00,1376.15,1380.95,1368.88,1372.88,38845,0,0
2010-11-25 00:00:00,1372.85,1375.0,1367.6,1374.35,18661,0,0
2010-11-26 00:00:00,1373.7,1374.85,1350.6,1363.25,34287,0,0
2010-11-28 00:00:00,1363.25,1363.9,1356.2,1356.85,735,0,0
2010-11-29 00:00:00,1362.4,1368.9,1352.8,1365.76,49719,0,0
2010-11-30 00:00:00,1365.75,1389.5,1362.45,1385.76,49858,0,0
2010-12-01 00:00:00,1385.73,1396.53,1381.5,1387.35,51571,0,0
2010-12-02 00:00:00,1387.33,1398.1,1382.65,1384.7,50443,0,0
2010-12-03 00:00:00,1384.8,1413.8,1384.15,1413.25,45552,0,0
2010-12-05 00:00:00,1414.45,1414.5,1409.65,1409.7,608,0,0
2010-12-06 00:00:00,1413.88,1427.05,1408.71,1423.23,45835,0,0
2010-12-07 00:00:00,1423.45,1430.78,1396.25,1401.6,56290,0,0
2010-12-08 00:00:00,1401.3,1404.0,1371.0,1381.58,59216,0,0
2010-12-09 00:00:00,1381.35,1394.15,1379.85,1386.55,49632,0,0
2010-12-10 00:00:00,1387.05,1391.88,1371.8,1386.23,42728,0,0
2010-12-12 00:00:00,1383.15,1383.95,1379.85,1380.05,509,0,0
2010-12-13 00:00:00,1384.5,1398.9,1379.85,1393.64,39797,0,0
2010-12-14 00:00:00,1393.53,1407.79,1391.58,1395.68,42689,0,0
